Trajectories
100
,,Patient 1:Unlabeled0,,,Patient 1:Unlabeled3,,,Patient 1:Unlabeled1,,,Patient 1:Unlabeled2,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
82,0,71.6972,713.369,61.8426,71.2201,673.609,62.1157,111.323,714.134,62.5564,111.468,673.242,62.3132
83,0,71.6744,713.323,61.8449,71.233,673.632,62.1096,111.553,714.159,62.6237,111.469,673.236,62.3105
84,0,71.734,713.35,61.8228,71.2896,673.613,62.0198,111.328,714.079,62.5517,111.471,673.31,62.305
85,0,71.6584,713.277,61.8636,71.2112,673.618,62.1194,111.568,714.194,62.6322,111.482,673.272,62.2966
86,0,71.6793,713.312,61.8579,71.1933,673.608,62.1526,111.573,714.186,62.6474,111.469,673.239,62.3145
87,0,71.6792,713.395,61.8537,71.235,673.614,62.1743,111.577,714.214,62.6263,111.474,673.273,62.2914
88,0,71.7114,713.406,61.8242,71.1571,673.562,62.1406,111.527,714.138,62.6568,111.482,673.293,62.2767
89,0,71.7178,713.344,61.825,71.2462,673.626,62.1406,111.355,714.114,62.5419,111.487,673.282,62.2855
90,0,71.6254,713.35,61.8643,71.2254,673.606,62.1251,111.53,714.156,62.6523,111.473,673.279,62.3187
91,0,71.69,713.362,61.8582,71.1702,673.543,62.1389,111.335,714.133,62.5252,111.495,673.287,62.2923
92,0,71.6908,713.365,61.8283,71.2388,673.573,62.1756,111.338,714.083,62.5606,111.5,673.255,62.2929
93,0,71.6685,713.349,61.8455,71.2494,673.62,62.1372,111.339,714.076,62.5435,111.492,673.262,62.2979
94,0,71.7003,713.356,61.851,71.2091,673.605,62.1409,111.544,714.127,62.6734,111.466,673.268,62.3046
95,0,71.7138,713.349,61.8247,71.2332,673.618,62.11,111.585,714.114,62.6611,111.467,673.267,62.2934
96,0,71.6795,713.338,61.8614,71.1947,673.59,62.126,111.32,714.062,62.5547,111.46,673.255,62.3027
97,0,71.6991,713.357,61.866,71.2067,673.58,62.127,111.32,714.029,62.5929,111.477,673.265,62.3103
